rowid,hostname,pl_letter,cb_flag,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,ra,dec,sy_dist,pl_eqt,st_lum,pl_dens,st_dens,st_age,st_teff,pl_esi
5043,TOI-125,b,0,1,3,4.65382,0.05186,2.726,9.5,23.5934253,-66.6763495,111.059,1037.0,-0.285,2.57,1.99,6.8,5320.0,3.713398804525792
5442,TOI-824,b,0,1,1,1.392978,0.02177,2.926,18.467,222.1654705,-57.5888666,63.9262,1253.0,-0.71,4.03,2.98,7.5,4600.0,3.766199309639104
5134,TOI-1751,b,0,1,1,37.46852,0.215,2.951,19.5,243.4888534,63.5335297,113.335,652.0,0.297,4.13,0.578,9.0,5970.0,3.8506632263408456
5125,TOI-1723,b,0,1,1,13.72641,0.114,3.292,10.4,116.7971978,68.4766845,100.727,783.0,0.064,1.6,1.1317,4.8,5743.0,3.9074343846342976
5430,TOI-762 A,b,0,2,1,3.4716826,0.03418,8.339,79.77493,166.0747423,-47.8214964,98.4458,555.0,-1.733,0.76,8.11,9.3,3266.0,3.9267996493153783
466,HATS-72,b,0,1,1,7.3279474,0.066517,8.097,39.85588,339.0258401,-17.0003046,127.589,739.0,-0.659,0.411,2.743,12.17,4656.1,4.156723368272924
5078,TOI-1410,b,0,1,2,1.21687,0.0207,3.101,12.5,334.8828486,42.5603141,72.7512,1237.0,-0.622,2.3,2.5679,6.6,4635.0,4.2195710949646745
5072,TOI-1386,b,0,1,2,25.8401,0.173,6.216,45.8,334.5041029,54.3190454,146.858,615.0,0.01,1.04,1.3498,3.2,5735.0,4.2662154994939465
5119,TOI-1694,b,0,1,2,3.770107,0.045,5.342,31.3,97.7487104,66.3605956,124.68,943.0,-0.418,1.13,2.3008,4.3,5058.0,4.438683766956256
2885,Kepler-1654,b,0,1,1,1047.8356,2.026,9.18,158.915,282.1856949,44.4344617,568.117,206.0,0.09,1.2,0.876,5.0,5597.0,4.576800153443724
2150,Kepler-111,c,0,1,2,224.77833,0.751,7.084,222.47988,291.653163,44.6882613,657.223,352.0,0.158,3.42,1.05,3.4,5914.0,4.644014024887511
5550,WASP-156,b,0,1,1,3.8361623,0.0458,6.028,41.8,32.782085,2.4181937,122.066,934.0,-0.418,1.05,2.1541,5.6,4987.0,4.705762145128795
439,HATS-49,b,0,1,1,4.1480467,0.04515,8.575,112.19399,6.6135927,-56.3442798,324.413,835.0,-0.785,0.986,2.961,10.5,4405.0,4.8549181520696605
1098,HD 5278,b,0,1,2,14.339156,0.1202,2.45,7.8,12.5467785,-83.7437671,57.5846,943.0,0.28,2.9,0.9319,3.0,6203.0,4.870570006012989
1640,K2-329,b,0,1,1,12.4551225,0.1016,8.676,82.6358,351.1353785,-5.1641451,233.237,650.0,-0.325,0.694,2.3,1.8,5282.0,4.935313378500869
1756,K2-419 A,b,0,2,1,20.35847252,0.1208,10.55,196.0,135.0194934,13.2737056,268.685,377.0,-1.277,0.916,4.99,7.4,3711.0,5.046176114777859
468,HATS-75,b,0,1,1,2.7886556,0.032742,9.909,156.05375,60.9493919,-25.4089214,194.964,772.0,-1.197,0.878,4.239,14.9,3790.4,5.04686508505485
438,HATS-48 A,b,0,2,1,3.1316666,0.03769,8.967,77.23269,288.6720048,-59.5793505,263.609,955.0,-0.709,0.589,2.804,11.97,4546.0,5.097255673768737
2908,Kepler-167,e,0,2,4,1071.23205,1.883,10.16,321.00669,292.6585253,38.3455558,341.908,134.0,-0.539,1.68,2.6,7.1,4884.0,5.290272784191179
4992,TIC 139270665,b,0,1,2,23.624,0.163,7.23,147.15455,124.0338967,33.2914532,189.875,703.0,0.032,2.13,1.39,3.4,5844.0,5.352509222670235
5297,TOI-3757,b,0,1,1,3.438753,0.03845,12.0,85.3,91.0036423,55.0199793,181.139,759.0,-1.06,0.27,3.7,7.1,3913.0,5.381474155474255
5085,TOI-1439,b,0,1,1,27.644,0.192,4.243,38.5,241.7639371,67.8776404,230.306,748.0,0.441,2.76,0.4045,4.6,5841.0,5.554953805768675
5147,TOI-1794,b,0,1,1,8.765528,0.082,3.297,8.7,203.3974857,49.0608433,155.791,993.0,0.197,1.31,0.5941,10.8,5631.0,5.829318894682742
