rowid,hostname,pl_letter,cb_flag,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,ra,dec,sy_dist,pl_eqt,st_lum,pl_dens,st_dens,st_age,st_teff,pl_esi
869,HD 207897,b,0,1,1,16.20166,0.117,2.343,14.8,325.2016451,84.3337613,28.2938,582.0,-0.421,6.29,2.3804,4.7,5106.0,2.324844266589114
5158,TOI-1824,b,0,1,1,22.808533,0.151,2.744,16.0,197.7312286,61.7448492,59.4314,529.0,-0.373,4.24,2.3034,2.5,5165.0,2.330451537077652
955,HD 235088,b,0,1,1,7.434151,0.071,2.075,4.2,300.6154535,53.3774418,41.1706,754.0,-0.412,2.58,2.3406,3.4,5087.0,2.3555759065959303
5040,TOI-1246,e,0,1,4,37.92548,0.212,3.514,14.5,251.1158702,70.4299917,169.422,464.0,-0.301,1.83,1.9182,6.3,5213.0,2.3620101854787046
5039,TOI-1246,d,0,1,4,18.654874,0.132,3.431,5.4,251.1158702,70.4299917,169.422,588.0,-0.301,0.73,1.9182,6.3,5213.0,2.3879314284236717
820,HD 191939,c,0,1,6,28.579743,0.1752,3.195,8.0,302.0256247,66.8503014,53.6089,600.0,-0.187,1.35,1.37,8.7,5348.0,2.4014490363941827
1264,HIP 116454,b,0,2,1,9.1004157,0.0792,2.469,9.7,353.9543517,0.4447043,62.4491,753.0,-0.473,3.53,2.59,5.5,5048.0,2.409893418900477
5008,TOI-1064,b,0,1,2,6.443868,0.06152,2.587,13.5,296.0039349,-47.5620305,68.0726,784.0,-0.623,4.30062,2.7069,9.4,4734.0,2.467624323234853
5148,TOI-1798,b,0,1,2,8.02154,0.074,2.385,6.5,211.0939367,46.5192825,113.181,734.0,-0.416,2.61,2.4218,2.6,5106.0,2.4760794221069866
5190,TOI-2088,b,0,1,1,124.72997,0.472,3.683,37.0,261.3748943,75.8822796,126.46,300.0,-0.362,2.0,2.0537,4.5,5081.0,2.483127308446927
5045,TOI-125,d,0,1,3,19.98,0.137,2.93,13.6,23.5934253,-66.6763495,111.059,638.0,-0.285,2.98,1.99,6.8,5320.0,2.5200499098322005
5087,TOI-1443,b,0,1,1,23.540678,0.147,2.304,30.0,297.398678,76.1391776,85.8034,521.0,-0.42,14.0,2.4897,7.4,5224.0,2.533073967205608
5187,TOI-2076,d,0,1,3,35.125686,0.199,3.431,29.0,217.3920159,39.7903991,41.9091,458.0,-0.378,4.0,2.3628,2.7,5192.0,2.570293884138471
916,HD 219134,b,0,1,6,3.092926,0.03876,1.602,4.74,348.3372026,57.1696255,6.53127,1015.0,-0.577,6.34,2.438,11.0,4699.0,2.5978098834543863
5393,TOI-561,c,0,1,4,10.778831,0.0884,2.91,5.39,148.1851516,6.216103,85.799,800.0,-0.273,1.2,1.89,11.0,5372.0,2.7397237313248017
5185,TOI-2076,b,0,1,3,10.355096,0.088,2.771,16.1,217.3920159,39.7903991,41.9091,688.0,-0.378,4.1,2.3628,2.7,5192.0,2.7644187456462563
1123,HD 63935,c,0,1,2,21.4027,0.148,3.065,11.1,117.9246417,9.3852412,48.9739,620.0,-0.115,2.11,1.4863,6.6,5513.0,2.7865631563469893
1233,HD 95338,b,0,1,1,55.087,0.262,3.89,42.44,164.8563364,-56.6235564,36.9941,385.0,-0.31,3.98,1.6865,5.08,5212.0,2.8036383358824253
5044,TOI-125,c,0,1,3,9.15059,0.0814,2.759,6.63,23.5934253,-66.6763495,111.059,828.0,-0.285,1.73,1.99,6.8,5320.0,2.8266130405216074
1319,HIP 8152,c,0,1,2,19.60562,0.139,2.524,10.7,26.2092533,-18.4013844,101.694,651.0,-0.08,3.63,1.4775,6.0,5618.0,2.8325199021614296
1118,HD 63433,c,0,1,3,20.543847,0.146,2.582,17.2,117.4793699,27.3631342,22.4035,622.0,-0.117,5.43,1.7997,1.5,5634.0,2.8613520324300694
1328,HIP 97166,b,0,1,2,10.288914,0.091,2.48,19.1,296.2446203,74.0628577,65.9501,702.0,-0.325,6.86,2.1928,1.2,5216.0,2.884911238635537
5126,TOI-1728,b,0,1,1,3.49151,0.0391,5.05,26.78,120.6116787,64.7971531,60.798,767.0,-1.056,1.14,3.78,7.1,3980.0,2.940207303083658
625,HD 136352,c,0,1,3,27.59221,0.1721,2.916,11.24,230.4401147,-48.3188174,14.682,677.0,0.016,2.49767,1.0348,12.3,5664.0,2.941128171962511
5058,TOI-1279,b,0,1,1,9.61419,0.085,2.661,10.6,185.0628734,56.2014094,107.055,759.0,-0.243,3.05,2.0546,4.2,5457.0,3.0185839046110474
1326,HIP 9618,b,0,1,2,20.772858,0.145,3.828,8.3,30.9050061,21.2813274,67.5478,641.0,-0.072,0.81,1.4896,5.6,5649.0,3.0412996801182786
5022,TOI-1174,b,0,1,1,8.953458,0.08,2.506,32.0,209.2171751,68.6182106,94.6375,714.0,-0.403,11.0,2.4367,2.7,5158.0,3.1029734499367336
5186,TOI-2076,c,0,1,3,21.015327,0.142,3.694,55.0,217.3920159,39.7903991,41.9091,543.0,-0.378,6.0,2.3628,2.7,5192.0,3.158865326998081
897,HD 21520,b,0,1,1,25.1292,0.1726,2.697,17.7,51.6403449,-43.6136649,79.208,637.0,0.066,1.35,1.35,5.3,5871.0,3.223538188075737
