rowid,hostname,pl_letter,cb_flag,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,ra,dec,sy_dist,pl_eqt,st_lum,pl_dens,st_dens,st_age,st_teff
153,EPIC 206042996,b,0,1,2,5.2986,,1.7,,337.5136198,-13.6101475,451.769,,,,,,4114.0
154,EPIC 206042996,c,0,1,2,0.354884,,1.2,,337.5136198,-13.6101475,451.769,,,,,,4114.0
155,EPIC 206215704,b,0,1,1,2.255436,,1.0,,335.0949721,-9.5097112,109.888,,,,,,3297.0
156,EPIC 206317286,b,0,1,2,1.58252,,0.96,,337.6178427,-7.972456,314.35,,,,,,
157,EPIC 206317286,c,0,1,2,17.515472,,2.094,,337.6178427,-7.972456,314.35,,,,,,4752.0
158,EPIC 211822797,b,0,1,1,21.1701963,0.1195,1.92,,130.4102091,17.6399744,186.197,431.0,,,,,4057.0
159,EPIC 211945201,b,0,1,1,19.49221,0.1493,5.76,,136.5741931,19.4020565,181.69,817.0,,,2.253,,6069.0
160,EPIC 212297394,b,0,1,2,2.289363,,1.48,,207.2061241,-17.6098985,418.395,1149.0,,,,,5171.0
161,EPIC 212297394,c,0,1,2,5.213965,,2.27,,207.2061241,-17.6098985,418.395,866.0,,,,,5171.0
162,EPIC 212424622,b,0,1,1,18.0983,,2.17,,202.3313765,-14.3594358,611.804,,,,,,
163,EPIC 212499991,b,0,1,1,34.885,,1.6,,202.488752,-12.7347749,283.29,,,,,,
164,EPIC 212587672,b,0,1,2,15.28078,,1.26,,205.4445125,-10.8625468,320.07,756.0,,,,,6004.0
165,EPIC 212587672,c,0,1,2,23.228555,,2.32,,205.4445125,-10.8625468,320.07,658.0,,,,,6004.0
166,EPIC 212624936,b,0,1,2,0.578657,,1.2,,210.6376171,-10.0236852,561.929,,,,,,5765.0
167,EPIC 212624936,c,0,1,2,11.811437,,2.3,,210.6376171,-10.0236852,561.929,,,,,,5765.0
168,EPIC 212737443,b,0,1,2,13.603,0.098,2.586,,204.2215065,-7.3180577,336.25,536.0,,,3.19,,4684.0
169,EPIC 212737443,c,0,1,2,65.55,0.28,2.69,,204.2215065,-7.3180577,336.25,316.0,,,3.19,,4684.0
170,EPIC 220492298,b,0,1,1,0.762406,,0.99,,16.7615005,6.588798,624.512,,,,,,5620.0
171,K2-282,c,0,1,2,0.70531,,1.6,,13.4321524,7.9952914,496.289,,,,,,5499.0
172,EPIC 220674823,b,0,1,2,0.571292,0.01326,1.725,8.21,13.0800239,10.7947051,244.59,2300.0,,8.77,,7.5,5532.0
173,EPIC 220674823,c,0,1,2,13.3397,0.1083,2.836,8.9,13.0800239,10.7947051,244.59,805.0,,2.12,,7.5,5532.0
174,EPIC 228836835,b,0,1,1,0.728113,,1.1,,189.5748998,-5.2446247,150.124,,,,,,3782.0
175,EPIC 229004835,b,0,1,1,16.141132,0.1237,2.332,10.4,186.4860415,-1.4047214,121.971,804.0,,4.49,,4.9,5868.0
176,EPIC 246851721,b,0,2,1,6.180235,0.07229,11.781,953.49,78.9198197,16.2786991,372.632,1401.0,0.526,3.1,0.465,3.02,6202.0
177,EPIC 248847494,b,0,1,1,3650.0,4.5,12.442,4131.79,159.3890808,11.8427484,551.886,183.0,,,0.064,,4898.0
178,EPIC 249893012,b,0,1,3,3.5951,0.047,1.95,8.75,228.2482353,-16.7246474,321.296,1616.0,,6.39,0.298,9.0,5430.0
179,EPIC 249893012,c,0,1,3,15.624,0.13,3.67,14.67,228.2482353,-16.7246474,321.296,990.0,,1.62,0.298,9.0,5430.0
180,EPIC 249893012,d,0,1,3,35.747,0.22,3.94,10.18,228.2482353,-16.7246474,321.296,752.0,,0.91,0.298,9.0,5430.0
181,FU Tau,b,0,1,1,,800.0,,5085.28,65.8974962,25.0506711,,2375.0,-0.699,,,0.001,2838.0
182,G 196-3,b,0,1,1,,350.0,,8263.53858,151.0884754,50.3861806,21.7912,1670.0,,,,,
183,G 264-012,b,0,1,2,2.30538,0.02279,,2.5,326.6719598,66.803848,16.009,587.0,-1.972,,,,3326.0
184,G 264-012,c,0,1,2,8.0518,0.0525,,3.75,326.6719598,66.803848,16.009,387.0,-1.972,,,,3326.0
185,G 9-40,b,0,1,1,5.746007,0.0385,2.025,11.7,134.7188514,21.0747961,27.9276,456.0,-1.971,,14.11,9.9,3348.0
186,GJ 1002,b,0,1,2,10.3465,0.0457,,1.08,1.6764641,-7.5462123,4.84867,231.0,-2.852,,,,3024.0
187,GJ 1002,c,0,1,2,21.202,0.0738,,1.36,1.6764641,-7.5462123,4.84867,182.0,-2.852,,,,3024.0
188,GJ 1061,b,0,1,3,3.204,0.021,,1.37,54.0032486,-44.5143104,3.67278,,-2.77,,,7.0,2953.0
189,GJ 1061,c,0,1,3,6.689,0.035,,1.74,54.0032486,-44.5143104,3.67278,,-2.77,,,7.0,2953.0
190,GJ 1061,d,0,1,3,13.031,0.054,,1.64,54.0032486,-44.5143104,3.67278,,-2.77,,,7.0,2953.0
191,GJ 1132,b,0,1,2,1.62892911,0.0157,1.192,1.83705,153.7090696,-47.1549358,12.613,584.0,-2.321,5.97,25.3,,3229.0
192,GJ 1132,c,0,1,2,8.929,0.0476,,2.64,153.7090696,-47.1549358,12.613,300.0,-2.359,,,,3270.0
193,GJ 1148,b,0,1,2,41.38,0.166,,96.7,175.4326081,42.7515862,11.0143,,-1.869,,10.5255,,3287.0
194,GJ 1148,c,0,1,2,532.58,0.912,,68.06,175.4326081,42.7515862,11.0143,,-1.869,,10.5255,,3287.0
195,GJ 1151,c,0,1,1,389.7,0.5714,,10.62,177.7304866,48.3732334,8.03625,,-2.48,,,,3280.0
196,GJ 1214,b,0,1,1,1.58040453,0.01505,2.733,8.41,258.8313991,4.9606795,14.6427,567.0,-2.409,2.26,25.41,,3101.0
197,GJ 1252,b,0,1,1,0.5182331,,1.193,1.32,306.9286462,-56.4622865,20.373,,-1.708,4.2,,,3458.0
198,GJ 1265,b,0,1,1,3.6511,0.026,,7.4,333.4324675,-17.6870623,10.2525,,-2.439,,,,3236.0
199,GJ 143,b,0,1,2,35.61253,0.1915,2.61,22.7,51.7501882,-63.500166,16.32,422.0,-0.686,7.0,3.03,3.8,4640.0
200,GJ 15 A,c,0,2,2,7600.0,5.4,,36.0,4.6126677,44.0247296,3.56228,,-1.655,,,,3607.0
201,GJ 160.2,b,0,1,1,5.2354,0.053,,10.2,61.6454173,-20.8564724,25.8557,,-0.796,,,,4347.0
202,GJ 163,b,0,1,3,8.63182,0.0607,,10.6,62.3228353,-53.3711768,15.1285,,,,,,
203,GJ 163,c,0,1,3,25.63058,0.1254,,6.8,62.3228353,-53.3711768,15.1285,,,,,,
204,GJ 163,d,0,1,3,603.95116,1.0304,,29.4,62.3228353,-53.3711768,15.1285,,,,,,
205,GJ 179,b,0,1,1,2288.0,2.41,,260.61,73.0245495,6.4752347,12.356,,-1.796,,,,3370.0
206,GJ 180,b,0,1,3,17.133,0.092,,6.49,73.460097,-17.776194,11.9407,,,,,,
207,GJ 180,c,0,1,3,24.329,0.129,,6.4,73.460097,-17.776194,11.9407,,-1.886,,,,3371.0
208,GJ 180,d,0,1,3,106.3,0.309,,7.56,73.460097,-17.776194,11.9407,,,,,,
209,GJ 2030,b,0,1,2,2.38129,0.034,,4.76743,50.8237604,-7.7950429,37.0788,,,,,,
210,GJ 2030,c,0,1,2,25533.11353,16.761,,4069.15709,50.8237604,-7.7950429,37.0788,,,,,,
211,GJ 2056,b,0,1,1,69.971,0.283,,16.2,108.0194945,-24.8921008,28.4434,,,,,,
212,GJ 229,c,0,2,2,121.93268,0.384,,8.58137,92.6435993,-21.8677233,5.75624,,,,,,
213,GJ 229,b,0,2,2,579.47495,1.086,,14.93794,92.6435993,-21.8677233,5.75624,,,,,,
214,GJ 238,b,0,1,1,1.7446999,0.02123,0.566,,98.454881,-58.5250316,15.2142,758.0,-1.616,,,,3485.0
215,GJ 251,b,0,1,1,14.238,0.0818,,4.0,103.7002499,33.2664632,5.58057,351.0,-1.772,,,,3451.0
